market-census	ts/src/binance.ts	createOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createMarketOrderWithCost	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createMarketBuyOrderWithCost	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createMarketSellOrderWithCost	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOpenOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	cancelAllOrders	order	safeOrder	1	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/binance.ts	cancelOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOrderTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchMyDustTrades	trades	parseTrades	4	typed:java.util.List<Object>	-	java.util.List<Object>	retyped	-
market-census	ts/src/binance.ts	parseDustTrade	bnb	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	transfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchTradingFee	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	futuresTransfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchFundingRate	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	parseAccountPositions	market	safeMarket	4	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchPosition	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	setLeverage	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	setMarginMode	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchLedgerEntry	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	getNetworkCodeByNetworkUrl	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	modifyMarginHelper	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchCrossBorrowRate	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
